Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Notes
Hubei,Mainland China,1/29/2020 21:00,30.97564,112.2707,4586,162,90,
Zhejiang,Mainland China,1/29/2020 21:00,29.18251,120.0985,428,,4,
Guangdong,Mainland China,1/29/2020 21:00,23.33841,113.422,311,,6,
Henan,Mainland China,1/29/2020 21:00,33.88202,113.614,278,2,2,
Hunan,Mainland China,1/29/2020 21:00,27.61041,111.7088,277,,,
Anhui,Mainland China,1/29/2020 21:00,31.82571,117.2264,200,,2,
Chongqing,Mainland China,1/29/2020 21:00,30.05718,107.874,165,,1,
Jiangxi,Mainland China,1/29/2020 21:00,27.61401,115.7221,162,,4,
Shandong,Mainland China,1/29/2020 21:00,36.34377,118.1529,145,,1,
Sichuan,Mainland China,1/29/2020 21:00,30.61714,102.7103,142,1,1,
Jiangsu,Mainland China,1/29/2020 21:00,32.97027,119.464,129,,1,
Beijing,Mainland China,1/29/2020 21:00,40.18238,116.4142,111,1,4,
Shanghai,Mainland China,1/29/2020 21:00,31.20327,121.4554,101,1,5,
Fujian,Mainland China,1/29/2020 21:00,26.07783,117.9895,101,,,
Guangxi,Mainland China,1/29/2020 21:00,23.82908,108.7881,78,,2,
Hebei,Mainland China,1/29/2020 21:00,38.0428,114.5149,65,1,,
Shaanxi,Mainland China,1/29/2020 21:00,35.19165,108.8701,56,,,
Yunnan,Mainland China,1/29/2020 21:00,24.97411,101.4868,55,,,
Hainan,Mainland China,1/29/2020 21:00,19.19673,109.7455,43,1,,
Heilongjiang,Mainland China,1/29/2020 21:00,47.862,127.7622,43,1,,
Liaoning,Mainland China,1/29/2020 21:00,41.29284,122.6086,39,,1,
Shanxi,Mainland China,1/29/2020 21:00,37.57769,112.2922,35,,1,
Tianjin,Mainland China,1/29/2020 21:00,39.29362,117.333,27,,,
Gansu,Mainland China,1/29/2020 21:00,36.0611,103.8343,26,,,
Inner Mongolia,Mainland China,1/29/2020 21:00,44.09448,113.9456,16,,,
Jilin,Mainland China,1/29/2020 21:00,43.66657,126.1917,14,,1,
Xinjiang,Mainland China,1/29/2020 21:00,41.11981,85.17822,14,,,
Guizhou,Mainland China,1/29/2020 21:00,26.81536,106.8748,12,,1,
Ningxia,Mainland China,1/29/2020 21:00,37.26923,106.1655,12,,,
Hong Kong,Hong Kong,1/29/2020 21:00,22.3193,114.1694,10,,,
Taiwan,Taiwan,1/29/2020 21:00,23.6978,120.9605,8,,,
Macau,Macau,1/29/2020 21:00,22.1987,113.5439,7,,,
Qinghai,Mainland China,1/29/2020 21:00,35.65945,96.02564,6,,,
Tibet,Mainland China,1/29/2020 21:00,30.1534,88.7879,1,,,
Washington,US,1/29/2020 21:00,47.7511,-120.7401,1,,,WA Centroid
Illinois,US,1/29/2020 21:00,40.6331,-89.3985,1,,,IL Centroid
California,US,1/29/2020 21:00,36.7783,-119.4179,2,,,CA Centroid
Arizona,US,1/29/2020 21:00,34.0489,-111.0937,1,,,AZ Centroid
,Japan,1/29/2020 21:00,35.6762,139.6503,11,,1,
,Thailand,1/29/2020 21:00,13.7563,100.5018,14,,5,
,South Korea,1/29/2020 21:00,37.5665,126.978,4,,,
,Singapore ,1/29/2020 21:00,1.3521,103.8198,10,,,
,Vietnam,1/29/2020 21:00,21.0278,105.8342,2,,,
,France,1/29/2020 21:00,46.2276,2.2137,5,,,
,Nepal,1/29/2020 21:00,28.3949,84.124,1,,,
,Malaysia ,1/29/2020 21:00,4.2105,101.9758,7,,,
Ontario,Canada,1/29/2020 21:00,43.6532,-79.3832,2,,,
British Columbia,Canada,1/29/2020 21:00,53.7267,-127.6476,1,,,
,Cambodia,1/29/2020 21:00,12.5657,104.991,1,,,
,Sri Lanka,1/29/2020 21:00,7.8731,80.7718,1,,,
New South Wales,Australia,1/29/2020 21:00,-31.2532,146.9211,4,,,
Victoria,Australia,1/29/2020 21:00,-37.4713,144.7852,2,,,
Queensland,Australia,1/29/2020 21:00,-20.9176,142.7028,1,,,
Bavaria,Germany,1/29/2020 21:00,51.1657,10.4515,4,,,
,Finland,1/29/2020 21:00,61.9241,25.7482,1,,,
,United Arab Emirates,1/29/2020 21:00,23.4241,53.8478,4,,,
